Geneid,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Entity,Symbol
gene-phiYY_sL3,0,1,0,5409.0,9261.0,8874.0,3719.0,3439.0,5422.0,8808.0,6166.0,17607.0,phage,gene-phiYY_sL3
gene-phiYY_sM5,0,0,0,6137.0,8930.0,8300.0,1870.0,1867.0,2900.0,4759.0,3167.0,7936.0,phage,gene-phiYY_sM5
gene-phiYY_sS5,0,2,2,4920.0,6341.0,5498.0,969.0,959.0,1609.0,2633.0,1569.0,4469.0,phage,gene-phiYY_sS5
gene-phiYY_sL1,0,0,0,1715.0,2883.0,2769.0,1370.0,1213.0,2041.0,3489.0,2322.0,7394.0,phage,gene-phiYY_sL1
gene-phiYY_sS7,0,1,2,7984.0,11703.0,10078.0,1516.0,1633.0,2550.0,4291.0,2485.0,7012.0,phage,gene-phiYY_sS7
gene-phiYY_sL2,0,0,0,2284.0,3892.0,3798.0,1734.0,1501.0,2443.0,4036.0,2739.0,8255.0,phage,gene-phiYY_sL2
gene-phiYY_sS6,0,1,2,7664.0,10944.0,9656.0,1410.0,1498.0,2361.0,3992.0,2278.0,6427.0,phage,gene-phiYY_sS6
gene-phiYY_sM4,0,2,0,5644.0,8604.0,8133.0,1405.0,1610.0,2759.0,4369.0,2849.0,7249.0,phage,gene-phiYY_sM4
gene-phiYY_sS3,0,1,0,4196.0,5796.0,4834.0,847.0,760.0,1259.0,2193.0,1231.0,3543.0,phage,gene-phiYY_sS3
gene-phiYY_sM2,0,0,0,2487.0,3694.0,3097.0,770.0,686.0,1177.0,2245.0,1264.0,3859.0,phage,gene-phiYY_sM2
gene-phiYY_sS1,0,1,0,3485.0,4490.0,4268.0,716.0,683.0,1108.0,2272.0,1244.0,3713.0,phage,gene-phiYY_sS1
gene-phiYY_sS4,0,5,2,9063.0,12897.0,10889.0,1468.0,1658.0,2771.0,4407.0,2559.0,7167.0,phage,gene-phiYY_sS4
gene-phiYY_sM1,0,2,1,8308.0,12877.0,11873.0,1498.0,1646.0,3102.0,4621.0,2651.0,7899.0,phage,gene-phiYY_sM1
gene-phiYY_sM3,1,2,0,9358.0,14242.0,13520.0,1961.0,2127.0,3939.0,5953.0,3573.0,10089.0,phage,gene-phiYY_sM3
gene-phiYY_sS2,0,1,0,4177.0,5447.0,4305.0,1010.0,866.0,1319.0,2664.0,1459.0,4480.0,phage,gene-phiYY_sS2
gene-phiYY_sL5,0,1,0,3865.0,6564.0,6383.0,2305.0,2144.0,3334.0,7077.0,4302.0,13512.0,phage,gene-phiYY_sL5
gene-phiYY_sL4,0,0,0,2710.0,4356.0,4261.0,1896.0,1608.0,2495.0,4465.0,2950.0,8537.0,phage,gene-phiYY_sL4
gene-phiYY_sS8,0,0,2,7510.0,11088.0,9074.0,1739.0,1713.0,2503.0,4195.0,2699.0,7030.0,phage,gene-phiYY_sS8
